iso2,year,usd_per_local_implied
TR,2024,0.030482358015233958
TT,2024,0.14814544860886292
TV,2023,0.6643675121629081
TZ,2024,0.0003849262096711242
UA,2024,0.0249053075636111
UG,2024,0.00026465317231064357
US,2024,1.0
UY,2024,0.024867711854938076
UZ,2024,7.903709536051791e-05
VC,2024,0.3703703703703711
VE,2024,0.0243031729645517
VI,2022,1.0
VN,2024,4.138235979722208e-05
VU,2024,0.008391608438554434
WS,2024,0.36284193770657047
XK,2024,1.0818208742864284
ZA,2024,0.05455936817632811
ZM,2024,0.03821692223150595
ZW,2024,0.05047694577527725
